# CPace v0.1.2 FuzzProtocolConsistency targeted rerun
host=iMacPro.local
target_tag=v0.1.2
target_commit=4e661bc1f925ebedf1f270668129d85bab73e468
worktree=/Users/josh/code/fuzz/cpace-v012-protocolconsistency-rerun-imacpro-20260510T234441Z/repo
started_utc=2026-05-10T23:44:41Z

checked_out_commit=4e661bc1f925ebedf1f270668129d85bab73e468
## HEAD (no branch)
go version go1.26.3 darwin/amd64
goos=darwin
goarch=amd64

command=FUZZ_RACE=0 GOMAXPROCS=4 go test -timeout=0 -fuzz=FuzzProtocolConsistency -fuzztime=4h .

fuzz: elapsed: 0s, gathering baseline coverage: 0/35 completed
fuzz: elapsed: 0s, gathering baseline coverage: 35/35 completed, now fuzzing with 4 workers
fuzz: elapsed: 3s, execs: 137583 (45860/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6s, execs: 284607 (48997/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9s, execs: 414598 (43312/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 12s, execs: 559430 (48298/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 15s, execs: 703854 (48142/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 18s, execs: 845605 (47260/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 21s, execs: 983874 (46059/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 24s, execs: 1120744 (45623/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 27s, execs: 1265407 (48238/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 30s, execs: 1405325 (46654/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 33s, execs: 1547380 (47351/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 36s, execs: 1685987 (46172/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 39s, execs: 1819960 (44676/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 42s, execs: 1963180 (47753/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 45s, execs: 2104087 (46960/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 48s, execs: 2245608 (47165/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 51s, execs: 2389529 (47959/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 54s, execs: 2526568 (45709/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 57s, execs: 2668281 (47239/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m0s, execs: 2809930 (47209/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m3s, execs: 2951968 (47353/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m6s, execs: 3097334 (48442/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m9s, execs: 3231328 (44669/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m12s, execs: 3372745 (47146/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m15s, execs: 3513981 (47081/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m18s, execs: 3655710 (47242/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m21s, execs: 3803162 (49117/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m24s, execs: 3935580 (44140/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m27s, execs: 4080061 (48192/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m30s, execs: 4218079 (45982/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m33s, execs: 4360038 (47343/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m36s, execs: 4507204 (49054/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m39s, execs: 4641003 (44595/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m42s, execs: 4779114 (46014/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m45s, execs: 4921276 (47387/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m48s, execs: 5062879 (47224/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m51s, execs: 5209820 (48989/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m54s, execs: 5343296 (44492/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 1m57s, execs: 5487526 (48077/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m0s, execs: 5626261 (46244/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m3s, execs: 5767951 (47199/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m6s, execs: 5915213 (49120/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m9s, execs: 6048767 (44517/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m12s, execs: 6193194 (48137/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m15s, execs: 6332088 (46295/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m18s, execs: 6474886 (47597/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m21s, execs: 6618553 (47892/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m24s, execs: 6752217 (44558/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m27s, execs: 6895839 (47867/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m30s, execs: 7034991 (46391/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m33s, execs: 7179573 (48199/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m36s, execs: 7323901 (48104/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m39s, execs: 7460157 (45423/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m42s, execs: 7603983 (47942/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m45s, execs: 7740262 (45426/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m48s, execs: 7884763 (48158/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m51s, execs: 8029254 (48162/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m54s, execs: 8165778 (45519/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 2m57s, execs: 8312265 (48829/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m0s, execs: 8448765 (45500/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m3s, execs: 8590430 (47222/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m6s, execs: 8734342 (47951/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m9s, execs: 8870919 (45514/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m12s, execs: 9014562 (47912/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m15s, execs: 9150948 (45462/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m18s, execs: 9292751 (47238/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m21s, execs: 9434420 (47253/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m24s, execs: 9576941 (47509/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m27s, execs: 9718113 (47026/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m30s, execs: 9855047 (45673/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m33s, execs: 9999611 (48171/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m36s, execs: 10141109 (47172/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m39s, execs: 10279829 (46247/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m42s, execs: 10426756 (48966/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m45s, execs: 10560506 (44597/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m48s, execs: 10705080 (48191/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m51s, execs: 10847124 (47348/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m54s, execs: 10988618 (47153/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 3m57s, execs: 11135223 (48873/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m0s, execs: 11267038 (43945/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m3s, execs: 11408447 (47134/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m6s, execs: 11548173 (46547/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m9s, execs: 11690033 (47313/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m12s, execs: 11837051 (48995/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m15s, execs: 11970640 (44531/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m18s, execs: 12114673 (48025/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m21s, execs: 12254362 (46532/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m24s, execs: 12399186 (48307/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m27s, execs: 12543287 (48001/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m30s, execs: 12676038 (44281/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m33s, execs: 12819886 (47917/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m36s, execs: 12959363 (46523/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m39s, execs: 13103229 (47955/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m42s, execs: 13247080 (47951/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m45s, execs: 13380467 (44447/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m48s, execs: 13526903 (48829/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m51s, execs: 13663314 (45470/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m54s, execs: 13804843 (47152/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 4m57s, execs: 13951638 (48924/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m0s, execs: 14085681 (44709/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m3s, execs: 14232645 (48974/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m6s, execs: 14368448 (45278/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m9s, execs: 14513218 (48260/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m12s, execs: 14657601 (48097/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m15s, execs: 14794471 (45641/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m18s, execs: 14940960 (48843/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m21s, execs: 15074652 (44562/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m24s, execs: 15216933 (47425/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m27s, execs: 15358930 (47334/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m30s, execs: 15492361 (44478/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m33s, execs: 15639254 (48949/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m36s, execs: 15773492 (44754/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m39s, execs: 15917948 (48148/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m42s, execs: 16056642 (46235/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m45s, execs: 16198363 (47220/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m48s, execs: 16345616 (49080/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m51s, execs: 16478761 (44411/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m54s, execs: 16622361 (47858/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 5m57s, execs: 16760452 (46039/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m0s, execs: 16903200 (47559/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m3s, execs: 17047422 (48093/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m6s, execs: 17181534 (44709/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m9s, execs: 17324268 (47555/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m12s, execs: 17463737 (46512/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m15s, execs: 17607516 (47894/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m18s, execs: 17751602 (48030/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m21s, execs: 17885179 (44525/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m24s, execs: 18032483 (49124/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m27s, execs: 18171971 (46494/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m30s, execs: 18313187 (47078/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m33s, execs: 18457291 (48040/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m36s, execs: 18591446 (44718/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m39s, execs: 18741420 (49959/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m42s, execs: 18875004 (44557/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m45s, execs: 19016354 (47114/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m48s, execs: 19163782 (49144/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m51s, execs: 19300486 (45570/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m54s, execs: 19447416 (48977/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 6m57s, execs: 19583643 (45409/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m0s, execs: 19722141 (46135/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m3s, execs: 19866818 (48257/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m6s, execs: 20004113 (45752/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m9s, execs: 20151435 (49112/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m12s, execs: 20284282 (44291/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m15s, execs: 20425639 (47120/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m18s, execs: 20569509 (47925/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m21s, execs: 20711375 (47290/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m24s, execs: 20852714 (47138/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m27s, execs: 20988585 (45279/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m30s, execs: 21132499 (47956/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m33s, execs: 21274303 (47296/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m36s, execs: 21416123 (47276/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m39s, execs: 21556911 (46915/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m42s, execs: 21693425 (45516/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m45s, execs: 21834829 (47123/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m48s, execs: 21976566 (47245/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m51s, execs: 22114944 (46110/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m54s, execs: 22262001 (49051/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 7m57s, execs: 22397250 (45069/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m0s, execs: 22541601 (48129/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m3s, execs: 22680291 (46202/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m6s, execs: 22822435 (47407/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m9s, execs: 22969629 (49038/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m12s, execs: 23103264 (44571/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m15s, execs: 23247422 (48052/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m18s, execs: 23385586 (46035/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m21s, execs: 23527526 (47306/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m24s, execs: 23674497 (49013/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m27s, execs: 23807860 (44462/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m30s, execs: 23948840 (46978/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m33s, execs: 24090577 (47262/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m36s, execs: 24232551 (47293/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m39s, execs: 24379497 (48982/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m42s, execs: 24511330 (43945/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m45s, execs: 24655157 (47949/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m48s, execs: 24794260 (46390/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m51s, execs: 24935659 (47131/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m54s, execs: 25082967 (49104/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 8m57s, execs: 25216594 (44522/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m0s, execs: 25363712 (49044/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m3s, execs: 25499875 (45406/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m6s, execs: 25642925 (47683/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m9s, execs: 25786982 (48018/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m12s, execs: 25921065 (44666/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m15s, execs: 26070992 (49976/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m18s, execs: 26207376 (45489/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m21s, execs: 26348429 (47020/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m24s, execs: 26492976 (48181/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m27s, execs: 26629735 (45588/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m30s, execs: 26776730 (48965/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m33s, execs: 26913182 (45512/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m36s, execs: 27054655 (47156/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m39s, execs: 27199485 (48280/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m42s, execs: 27335893 (45460/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m45s, execs: 27482651 (48929/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m48s, execs: 27615888 (44385/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m51s, execs: 27760612 (48270/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m54s, execs: 27905053 (48137/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 9m57s, execs: 28044229 (46403/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m0s, execs: 28185372 (47018/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m3s, execs: 28324785 (46495/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m6s, execs: 28469483 (48207/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m9s, execs: 28610966 (47187/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m12s, execs: 28743803 (44285/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m15s, execs: 28893564 (49911/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m18s, execs: 29030003 (45486/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m21s, execs: 29174367 (48091/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m24s, execs: 29315596 (47106/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m27s, execs: 29451904 (45407/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m30s, execs: 29598871 (49021/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m33s, execs: 29734829 (45319/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m36s, execs: 29879036 (48056/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m39s, execs: 30020305 (47097/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m42s, execs: 30159116 (46246/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m45s, execs: 30306372 (49118/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m48s, execs: 30440193 (44607/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m51s, execs: 30584354 (48053/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m54s, execs: 30726314 (47288/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 10m57s, execs: 30868739 (47508/sec), new interesting: 0 (total: 35)
fuzz: elapsed: 11m0s, execs: 31013318 (48181/sec), new interesting: 0 (total: 35)
